product_id,product_name,product_manufacturer,product_qty_remaining,product_price,product_category,product_img_url,product_description,
EG-8S9TT0UUV,Golden Sunburst Electric Guitar,Crestwood Instruments,2,867.99,Electric Guitar,https://media.guitarcenter.com/is/image/MMGS7/M02122000001000-02-600x600.jpg,Classic instrument with powerful projection and warm balanced tone cherished by musicians for its timeless sound and playability.,
EG-1WW2XX3YY,Silent Night Electric Guitar,Phoenix Tone Labs,14,3210.99,Electric Guitar,https://media.guitarcenter.com/is/image/MMGS7/L46834000001000-02-600x600.jpg,Signature model known for speed and versatility beloved by virtuoso players for its innovative design and expressive tone.,
EG-4ZZ5A6BB7C,Ruby Rhapsody Electric Guitar,NovaTone Guitars,25,576.99,Electric Guitar,https://media.guitarcenter.com/is/image/MMGS7/Player-Stratocaster-Maple-Fingerboard-Limited-Edition-Electric-Guitar-Black/L46833000001000-00-264x264.jpg,Affordable version of a premium guitar loved by players for its quality craftsmanship and versatile tone.,
EG-8DD9EEE0F,Aurora Borealis Electric Guitar,Phoenix Tone Labs,10,489.99,Electric Guitar,https://media.guitarcenter.com/is/image/MMGS7/L99283000002000-02-600x600.jpg,Timeless instrument with twangy tone and simple design favored by players for its clarity and playability.,
EG-1G2HH3II4J,Crimson Cascade Electric Guitar,NovaSound Guitar Co.,0,1054.99,Electric Guitar,https://media.guitarcenter.com/is/image/MMGS7/L95519000001000-02-600x600.jpg,Versatile guitar with powerful tone and sleek design ideal for heavy music with its aggressive sound and comfortable playability.,
EG-5K6LL7MM8N,Ocean Wave Electric Guitar,Crestwood Instruments,7,2649.99,Electric Guitar,https://media.guitarcenter.com/is/image/MMGS7/G5427T-Electromatic-Limited-Edition-Electric-Guitar-Black-Pearl-Metallic/L88519000001000-00-264x264.jpg,Classic guitar with balanced tone and comfortable playability cherished by players for its responsiveness and clarity.,
EG-9OO0PP1QQ,Jade Jive Electric Guitar,Phoenix Tone Labs,26,799.99,Electric Guitar,https://media.guitarcenter.com/is/image/MMGS7/G5427TG-Electromatic-Hollowbody-Single-Cut-Bigsby-Limited-Edition-Electric-Guitar-Champagne-White-Gold/M03605000001001-00-264x264.jpg,Iconic instrument with warm smooth tone and versatile playability beloved by players for its classic sound and elegant design.,
EG-1G2HH3IK4R,Platinum Pulse Electric Guitar,NovaTone Guitars,20,444.99,Electric Guitar,https://media.guitarcenter.com/is/image/MMGS7/L69975000005000-02-600x600.jpg,Reliable option with balanced tone and comfortable playability perfect for live performances and recording sessions with its versatile sound and stage-ready design.,
AG-1A2B3C4D,Sunburst Serenade Acoustic Guitar,Phoenix Tone Labs,7,1265.73,Acoustic Guitar,Road-Series-Limited-Edition-All-Sapele-Grand-Performance-Acoustic-Electric-Guitar-Dark-Mahogany,Semi-hollow model with warm resonant tone ideal for players with its smooth playability and classic styling.,
AG-5E6F7G8H,Whispering Woods Acoustic Guitar,NovaSound Guitar Co.,18,189.48,Acoustic Guitar,https://media.guitarcenter.com/is/image/MMGS7/M08663000001000-02-600x600.jpg,Signature guitar known for aggressive tone and distinctive design loved by players for its powerful sound and effortless playability.,
AG-9I0J1K2L,Midnight Melody Acoustic Guitar,Crestwood Instruments,0,3978.21,Acoustic Guitar,https://media.guitarcenter.com/is/image/MMGS7/H83179000001000-02-600x600.jpg,Affordable option with versatile tone and comfortable playability perfect for players with its reliable performance and classic design.,
AG-N2O3P4Q5R,Ocean Breeze Acoustic Guitar,Arizona Guitars,12,5932.14,Acoustic Guitar,https://media.guitarcenter.com/is/image/MMGS7/K86800000002000-02-600x600.jpg,Signature model known for expressive tone and sleek design beloved by players for its quality craftsmanship and versatile sound.,
AG-6S7T8U9V,Ember Glow Acoustic Guitar,NovaTone Guitars,4,475.89,Acoustic Guitar,https://media.guitarcenter.com/is/image/MMGS7/L97513000001000-02-600x600.jpg,Iconic instrument with rich mellow tone and unique design favored by players for its versatility and vintage vibe.,
AG-BBCDD1E2,Cedar Creek Acoustic Guitar,Phoenix Tone Labs,20,209.36,Acoustic Guitar,https://media.guitarcenter.com/is/image/MMGS7/J06028000003000-02-600x600.jpg,Distinctive guitar with edgy tone and futuristic design cherished by players for its aggressive sound and eye-catching looks.,
AG-3FG4HI5JJ,Autumn Haze Acoustic Guitar,Harmony Forge Guitars,5,321.57,Acoustic Guitar,https://media.guitarcenter.com/is/image/MMGS7/L28131000002000-02-600x600.jpg,Compact guitar with big sound perfect for travel and intimate performances with its balanced tone and comfortable playability.,
AG-6K7LM8N9O,Whispering Willow Acoustic Guitar,NovaSound Guitar Co.,0,104.62,Acoustic Guitar,https://media.guitarcenter.com/is/image/MMGS7/L68100000001000-02-600x600.jpg,High-performance option with fast neck and hot pickups perfect for shredding and heavy music with its sleek design and aggressive tone.,
AG-PPQQRRSST,Maple Mist Acoustic Guitar,Crestwood Instruments,9,486.75,Acoustic Guitar,https://media.guitarcenter.com/is/image/MMGS7/L97201000004000-05-600x600.jpg,Versatile guitar with balanced tone and comfortable playability ideal for live performances and recording sessions with its expressive sound and stage-ready design.,
AG-0UV1WW2XX,Vintage Vine Acoustic Guitar,EchoCraft Guitar Works,16,220.91,Acoustic Guitar,https://media.guitarcenter.com/is/image/MMGS7/M06305000002000-02-600x600.jpg,Affordable version of a classic instrument loved by players for its retro vibe and distinctive sound.,
AG-YY3ZZ4AB,Silver Springs Acoustic Guitar,Solstice Sound Instruments,2,570.44,Acoustic Guitar,https://media.guitarcenter.com/is/image/MMGS7/K40776000001000-02-600x600.jpg,Affordable version of an iconic guitar cherished by players for its classic design and versatile tone.,
AG-6C7C8D9E0,Prairie Songbird Acoustic Guitar,Crescent City Guitars,10,399.25,Acoustic Guitar,https://media.guitarcenter.com/is/image/MMGS7/L26331000001000-02-600x600.jpg,Sleek guitar known for aggressive tone and distinctive design favored by players for its powerful sound and effortless playability.,
AG-F1F2G3G4H,Golden Fields Acoustic Guitar,Phoenix Tone Labs,0,1834.76,Acoustic Guitar,https://media.guitarcenter.com/is/image/MMGS7/M09031000001000-02-600x600.jpg,Reliable option with balanced tone and comfortable playability perfect for live performances and recording sessions with its versatile sound and stage-ready design.,
AG-5I6J7J8K9L,Crystal Clear Acoustic Guitar,Horizon Heights Luthiers,15,3276.59,Acoustic Guitar,https://media.guitarcenter.com/is/image/MMGS7/L66003000001000-02-600x600.jpg,Distinctive guitar with chiming tone and vintage appeal cherished by players for its unique sound and iconic design.,
AG-0M1M2N3N4O,Thundering Falls Acoustic Guitar,Eclipse Electric Co.,3,145.83,Acoustic Guitar,https://media.guitarcenter.com/is/image/MMGS7/L18959000001000-02-600x600.jpg,Classic guitar with rich full tone and comfortable playability beloved by players for its timeless sound and elegant design.,
AG-5PP6QQ7RR,Alpine Echo Acoustic Guitar,Radiant Resonance Guitars,6,507.62,Acoustic Guitar,https://media.guitarcenter.com/is/image/MMGS7/J29063000003000-02-600x600.jpg,Versatile option with powerful tone and sleek design ideal for heavy music with its aggressive sound and comfortable playability.,
AG-8S9TT0UUV,Mountain Majesty Acoustic Guitar,Zenith String Instruments,11,99.99,Acoustic Guitar,https://media.guitarcenter.com/is/image/MMGS7/L44617000001000-02-600x600.jpg,Semi-hollow model with warm resonant tone cherished by players for its smooth playability and classic styling.,
AG-1WW2XX3YY,Desert Rose Acoustic Guitar,Evergreen Guitar Works,0,5999,Acoustic Guitar,https://media.guitarcenter.com/is/image/MMGS7/M04183000001000-02-600x600.jpg,Iconic bass known for solid tone and simple design favored by players for its punchy sound and reliable performance.,
AG-4ZZ5A6BB7C,Ivory Isle Acoustic Guitar,Aria Artisan Guitars,14,872.36,Acoustic Guitar,https://media.guitarcenter.com/is/image/MMGS7/J31555000001000-02-600x600.jpg,Classic guitar with warm balanced tone and comfortable playability cherished by players for its expressive sound and timeless design.,
AG-8DD9EEE0F,Honeyed Harmony Acoustic Guitar,Rivertone Guitar Company,8,287.45,Acoustic Guitar,https://media.guitarcenter.com/is/image/MMGS7/J33498000001000-02-600x600.jpg,Reliable option with balanced tone and comfortable playability perfect for live performances and recording sessions with its versatile sound and stage-ready design.,
AG-1G2HH3II4J,Ebony Echo Acoustic Guitar,Celestial Soundcraft,1,1639.28,Acoustic Guitar,https://media.guitarcenter.com/is/image/MMGS7/H96926000001000-02-600x600.jpg,High-performance model with fast neck and hot pickups perfect for shredding and heavy music with its sleek design and aggressive tone.,
AG-5K6LL7MM8N,Sunset Symphony Acoustic Guitar,Mac's Guitar Co,19,1045.73,Acoustic Guitar,https://media.guitarcenter.com/is/image/MMGS7/H83179000001000-02-600x600.jpg,Affordable version of a premium instrument loved by players for its quality craftsmanship and versatile tone.,
AG-9OO0PP1QQ,Wildflower Waltz Acoustic Guitar,Crestwood Instruments,0,389.21,Acoustic Guitar,https://media.guitarcenter.com/is/image/MMGS7/L73540000001000-02-600x600.jpg,Iconic bass with smooth tone and comfortable playability favored by players for its versatile sound and timeless design.,
AG-3RR4SS5TT,Sapphire Sky Acoustic Guitar,Phoenix Tone Labs,11,2200.55,Acoustic Guitar,https://media.guitarcenter.com/is/image/MMGS7/L18959000001000-02-600x600.jpg,Versatile guitar with powerful tone and sleek design ideal for heavy music with its aggressive sound and comfortable playability.,
CG-J7K4,Serenade Symphony Classical Guitar,Harmony Forge Guitars,1,356.78,Classical Guitar,https://media.guitarcenter.com/is/image/MMGS7/J22561000001000-02-600x600.jpg,Classic guitar with balanced tone and comfortable playability cherished by players for its responsiveness and clarity.,
CG-P9Q2,Moonlight Sonata Classical Guitar,NovaSound Guitar Co.,3,1245.32,Classical Guitar,https://media.guitarcenter.com/is/image/MMGS7/L48605000002000-02-600x600.jpg,Iconic instrument with versatile sound favored by rock legends for its smooth playability and distinct tone.,
CG-X3L6,Renaissance Rhapsody Classical Guitar,Crestwood Instruments,0,189.99,Classical Guitar,https://media.guitarcenter.com/is/image/MMGS7/L73505000001000-02-600x600.jpg,Classic guitar known for warm tones and sustain beloved by blues and rock players for its rich sound and iconic design.,
CG-D5M8,Harmonic Heritage Classical Guitar,EchoCraft Guitar Works,9,2743.65,Classical Guitar,https://media.guitarcenter.com/is/image/MMGS7/L28953000001000-02-600x600.jpg,Renowned for balanced tone and exquisite craftsmanship ideal for live performances and recording sessions with its articulate sound and comfortable playability.,
CG-V1N9,Elysian Echo Classical Guitar,Solstice Sound Instruments,11,480.23,Classical Guitar,https://media.guitarcenter.com/is/image/MMGS7/H96255000001000-02-600x600.jpg,Legendary instrument with rich bass and clear trebles cherished by musicians for its powerful projection and timeless character.,
CG-T2R5,Celestial Serenity Classical Guitar,Crescent City Guitars,7,1567.89,Classical Guitar,https://media.guitarcenter.com/is/image/MMGS7/J26083000004000-02-600x600.jpg,High-performance guitar with fast neck and hot pickups perfect for shredding and heavy music with its sleek design and aggressive tone.,
CG-Y8S1,Melodic Muse Classical Guitar,Phoenix Tone Labs,15,999.99,Classical Guitar,https://media.guitarcenter.com/is/image/MMGS7/K46942000002000-02-600x600.jpg,Premium model with stunning looks and versatile tone beloved by players across genres for its craftsmanship and dynamic sound.,
CG-H4T9,Sonata Serenity Classical Guitar,Horizon Heights Luthiers,4,308.75,Classical Guitar,https://media.guitarcenter.com/is/image/MMGS7/J05991000001000-02-600x600.jpg,Iconic guitar with lush vintage sound adored by artists for its elegance and sonic versatility.,
CG-C6U3,Opulent Overture Classical Guitar,Eclipse Electric Co.,2,799.99,Classical Guitar,https://media.guitarcenter.com/is/image/MMGS7/H72431000001000-02-600x600.jpg,Semi-hollow guitar with bright jangly tone loved by musicians for its distinctive sound and retro vibe.,
CG-M7V9,Aurora Allegro Classical Guitar,Radiant Resonance Guitars,6,4332.45,Classical Guitar,https://media.guitarcenter.com/is/image/MMGS7/L73518000001000-02-600x600.jpg,Sleek instrument designed for speed and precision a favorite of shredders for its effortless playability and aggressive tone.,
CG-F9W1,Ethereal Elegance Classical Guitar,Harmony Forge Guitars,0,176.54,Classical Guitar,https://media.guitarcenter.com/is/image/MMGS7/L91828000001000-02-600x600.jpg,Affordable option with solid sound and comfortable playability perfect for players with its reliable performance and classic design.,
CG-Q3X6,Renaissance Reflection Classical Guitar,NovaSound Guitar Co.,13,999.99,Classical Guitar,https://media.guitarcenter.com/is/image/MMGS7/L98243000001000-02-600x600.jpg,Distinctive guitar with chiming tone and vintage appeal favored by musicians for its unique sound and iconic design.,
CG-W2Y4,Majestic Melody Classical Guitar,Crestwood Instruments,8,5799.99,Classical Guitar,https://media.guitarcenter.com/is/image/MMGS7/L73549000001000-02-600x600.jpg,Semi-hollow model with warm resonant tone cherished by players for its smooth playability and classic styling.,
CG-Z5A1,Harmonic Haven Classical Guitar,EchoCraft Guitar Works,5,799.99,Classical Guitar,https://media.guitarcenter.com/is/image/MMGS7/L86962000001000-02-600x600.jpg,High-performance guitar with powerful tone and sleek design ideal for heavy music with its aggressive sound and comfortable playability.,
CG-E8B7,Opulent Orchid Classical Guitar,Solstice Sound Instruments,10,199.99,Classical Guitar,https://media.guitarcenter.com/is/image/MMGS7/J38878000001000-02-600x600.jpg,Affordable version of a classic instrument loved by players for its iconic design and versatile tone.,
CG-N1C6,Celestial Cadence Classical Guitar,Crescent City Guitars,12,1249.99,Classical Guitar,https://media.guitarcenter.com/is/image/MMGS7/516338000000000-00-600x600.jpg,Compact guitar with big sound perfect for travel and intimate performances with its balanced tone and comfortable playability.,
CG-K4D9,Elysian Elegance Classical Guitar,Phoenix Tone Labs,0,560,Classical Guitar,https://media.guitarcenter.com/is/image/MMGS7/L90222000001000-02-600x600.jpg,Iconic guitar with biting tone and sleek design favored by musicians for its aggressive sound and effortless playability.,
CG-U6E2,Serenade Symphony Classical Guitar,Horizon Heights Luthiers,14,399.99,Classical Guitar,https://media.guitarcenter.com/is/image/MMGS7/H82485000001000-02-600x600.jpg,Classic instrument with powerful projection and warm balanced tone cherished by musicians for its timeless sound and playability.,
CG-I2F8,Ethereal Enchantment Classical Guitar,Eclipse Electric Co.,1,2999.99,Classical Guitar,https://media.guitarcenter.com/is/image/MMGS7/L73866000001000-02-600x600.jpg,Signature model known for speed and versatility beloved by virtuoso players for its innovative design and expressive tone.,
CG-O3G7,Melodic Moonlight Classical Guitar,Radiant Resonance Guitars,3,149.99,Classical Guitar,https://media.guitarcenter.com/is/image/MMGS7/H96236000001000-02-600x600.jpg,Affordable version of a premium guitar loved by players for its quality craftsmanship and versatile tone.,
CG-A7H4,Celestial Cadence Classical Guitar,Zenith String Instruments,5,209.99,Classical Guitar,https://media.guitarcenter.com/is/image/MMGS7/M06017000001000-02-600x600.jpg,Timeless instrument with twangy tone and simple design favored by players for its clarity and playability.,
CG-J6I8,Aurora Aria Classical Guitar,Evergreen Guitar Works,9,999.99,Classical Guitar,https://media.guitarcenter.com/is/image/MMGS7/M06016000001000-02-600x600.jpg,Versatile guitar with powerful tone and sleek design ideal for heavy music with its aggressive sound and comfortable playability.,
CG-P5J3,Renaissance Reverie Classical Guitar,Aria Artisan Guitars,2,429.99,Classical Guitar,https://media.guitarcenter.com/is/image/MMGS7/518978000010000-02-600x600.jpg,Classic guitar with balanced tone and comfortable playability cherished by players for its responsiveness and clarity.,
CG-X9K1,Opulent Odyssey Classical Guitar,Rivertone Guitar Company,0,3499.99,Classical Guitar,https://media.guitarcenter.com/is/image/MMGS7/510693000000000-02-600x600.jpg,Iconic instrument with warm smooth tone and versatile playability beloved by players for its classic sound and elegant design.,
CG-D3L7,Weeping Willow Classical Guitar,Celestial Soundcraft,10,1999.99,Classical Guitar,https://media.guitarcenter.com/is/image/MMGS7/H75956000001000-02-600x600.jpg,Reliable option with balanced tone and comfortable playability perfect for live performances and recording sessions with its versatile sound and stage-ready design.,
BG-E2C7P8,Blackstone Burst Bass Guitar,Zenith String Instruments,3,1299.99,Bass Guitar,https://media.guitarcenter.com/is/image/MMGS7/L88433000001000-02-600x600.jpg,Semi-hollow model with warm resonant tone ideal for players with its smooth playability and classic styling.,
BG-A5G4H4,Thunder Tone Bass Guitar,Eclipse Electric Co.,7,459.99,Bass Guitar,https://media.guitarcenter.com/is/image/MMGS7/L76115000001000-02-600x600.jpg,Signature guitar known for aggressive tone and distinctive design loved by players for its powerful sound and effortless playability.,
BG-J9C2I3,Lightning Dome Bass Guitar,Eclipse Electric Co.,2,3599.99,Bass Guitar,https://media.guitarcenter.com/is/image/MMGS7/J27306000002000-02-600x600.jpg,Affordable option with versatile tone and comfortable playability perfect for players with its reliable performance and classic design.,
BG-M4P1K0,Synchro Stingray Bass Guitar,Phoenix Tone Labs,4,1499.99,Bass Guitar,https://media.guitarcenter.com/is/image/MMGS7/M07642000001000-02-600x600.jpg,Signature model known for expressive tone and sleek design beloved by players for its quality craftsmanship and versatile sound.,
BG-Q6E7Z0,Smooth Snowflake Bass Guitar,Harmony Forge Guitars,9,349.99,Bass Guitar,https://media.guitarcenter.com/is/image/MMGS7/L95373000001000-02-600x600.jpg,Iconic instrument with rich mellow tone and unique design favored by players for its versatility and vintage vibe.,
BG-Y9N5L2,Red Rocket Bass Guitar,Phoenix Tone Labs,10,969.99,Bass Guitar,https://media.guitarcenter.com/is/image/MMGS7/M07641000001000-02-600x600.jpg,Distinctive guitar with edgy tone and futuristic design cherished by players for its aggressive sound and eye-catching looks.,
BG-S3J9O1,Elegant Elephant Bass Guitar,Evergreen Guitar Works,4,2399.99,Bass Guitar,https://media.guitarcenter.com/is/image/MMGS7/M07642000001000-02-600x600.jpg,Compact guitar with big sound perfect for travel and intimate performances with its balanced tone and comfortable playability.,
BG-R6T0L5,Fiery Fury Bass Guitar,NovaSound Guitar Co.,13,829.99,Bass Guitar,https://media.guitarcenter.com/is/image/MMGS7/M07644000001000-02-600x600.jpg,High-performance option with fast neck and hot pickups perfect for shredding and heavy music with its sleek design and aggressive tone.,
BG-N2P8G4,Easy Elegance Bass Guitar,Radiant Resonance Guitars,5,789.99,Bass Guitar,https://media.guitarcenter.com/is/image/MMGS7/L21559000003000-02-600x600.jpg,Versatile guitar with balanced tone and comfortable playability ideal for live performances and recording sessions with its expressive sound and stage-ready design.,
BG-X0W8P1,Dynamic Dream Bass Guitar,Crescent City Guitars,1,3259.99,Bass Guitar,https://media.guitarcenter.com/is/image/MMGS7/L92477000001000-02-600x600.jpg,Affordable version of a classic instrument loved by players for its retro vibe and distinctive sound.,
BG-V9K0R3,Ultra Jazz Bass Guitar,Rivertone Guitar Company,0,452.99,Bass Guitar,https://media.guitarcenter.com/is/image/MMGS7/L94033000001000-02-600x600.jpg,Affordable version of an iconic guitar cherished by players for its classic design and versatile tone.,
BG-N5A7C2,Tranquil Timbre Bass Guitar,Solstice Sound Instruments,6,929.33,Bass Guitar,https://media.guitarcenter.com/is/image/MMGS7/K46973000001000-02-600x600.jpg,Sleek guitar known for aggressive tone and distinctive design favored by players for its powerful sound and effortless playability.,
BG-F3O1J3,Jurassic Jericho Bass Guitar,Zenith String Instruments,16,760.39,Bass Guitar,https://media.guitarcenter.com/is/image/MMGS7/M06790000001000-02-600x600.jpg,Reliable option with balanced tone and comfortable playability perfect for live performances and recording sessions with its versatile sound and stage-ready design.,
BG-T0L5N7,Tonal Tremors Bass Guitar,Celestial Soundcraft,8,259.99,Bass Guitar,https://media.guitarcenter.com/is/image/MMGS7/L90971000001000-02-600x600.jpg,Distinctive guitar with chiming tone and vintage appeal cherished by players for its unique sound and iconic design.,
BG-D6G4R9,Silky Serenade Bass Guitar,NovaSound Guitar Co.,3,1599.99,Bass Guitar,https://media.guitarcenter.com/is/image/MMGS7/L83738000001000-02-600x600.jpg,Classic guitar with rich full tone and comfortable playability beloved by players for its timeless sound and elegant design.,
BG-K0F6J9,Smashing Stegosaurus Bass Guitar,Mac's Guitar Co,7,1259.99,Bass Guitar,https://media.guitarcenter.com/is/image/MMGS7/L57533000001000-02-600x600.jpg,Versatile option with powerful tone and sleek design ideal for heavy music with its aggressive sound and comfortable playability.,
BG-B8G4L2,Beautiful Burst Bass Guitar,Arizona Guitars,12,205.99,Bass Guitar,https://media.guitarcenter.com/is/image/MMGS7/L72450000002000-02-600x600.jpg,Semi-hollow model with warm resonant tone cherished by players for its smooth playability and classic styling.,
BG-Z0K0F9,Careful Charm Bass Guitar,EchoCraft Guitar Works,4,2100.99,Bass Guitar,https://media.guitarcenter.com/is/image/MMGS7/L97795000015000-02-600x600.jpg,Iconic bass known for solid tone and simple design favored by players for its punchy sound and reliable performance.,
BG-M4B8R3,Incredible Image Bass Guitar,Evergreen Guitar Works,15,1849.99,Bass Guitar,https://media.guitarcenter.com/is/image/MMGS7/K76909000003000-02-600x600.jpg,Classic guitar with warm balanced tone and comfortable playability cherished by players for its expressive sound and timeless design.,
BG-G4J3I9,Zigzag Zenith Bass Guitar,Zenith String Instruments,2,1999.99,Bass Guitar,https://media.guitarcenter.com/is/image/MMGS7/L90911000001000-02-600x600.jpg,Reliable option with balanced tone and comfortable playability perfect for live performances and recording sessions with its versatile sound and stage-ready design.,
BG-C2A7N5,Encroaching Entropy Bass Guitar,Zenith String Instruments,1,3299.99,Bass Guitar,https://media.guitarcenter.com/is/image/MMGS7/L99945000001000-02-600x600.jpg,High-performance model with fast neck and hot pickups perfect for shredding and heavy music with its sleek design and aggressive tone.,
